 	رده:انجمن سرطان آمریکا	Category:American_Cancer_Society	American_Cancer_Society
 	رده:انرژی بستگی	Category:Binding_energy	Binding_energy
 	رده:بینن‌ماس	Category:Binnenmaas	Binnenmaas
 	رده:شبدرهای سرخسی	Category:Biophytum	Biophytum
 	رده:شورای شهر بیرمنگام	Category:Birmingham_City_Council	Birmingham_City_Council
 	رده:بیروبیجان	Category:Birobidzhan	Birobidzhan
 	رده:بیسبی، آریزونا	Category:Bisbee,_Arizona	Bisbee,_Arizona
 	رده:باشگاه فوتبال بیشاپس کلیو	Category:Bishop's_Cleeve_F.C.	Bishop's_Cleeve_F.C.
 	رده:بیشاپس استورتفورد	Category:Bishop's_Stortford	Bishop's_Stortford
 	رده:باشگاه فوتبال بیشاپ اوکلند	Category:Bishop_Auckland_F.C.	Bishop_Auckland_F.C.
 	رده:بیت‌تورنت ترکر	Category:BitTorrent_tracker	BitTorrent_tracker
 	رده:بیتونتو	Category:Bitonto	Bitonto
 	رده:بینان	Category:Biñan	Biñan
 	رده:جان سیاه‌پوستان مهم است	Category:Black_Lives_Matter	Black_Lives_Matter
 	رده:عنکبوت سیاه (شخصیت کمیک)	Category:Black_Widow_(Marvel_Comics)	Black_Widow_(Marvel_Comics)
 	رده:باشگاه فوتبال بلکفیلد و لانگلی	Category:Blackfield_&_Langley_F.C.	Blackfield_&_Langley_F.C.
 	رده:بلک‌فوت، آیداهو	Category:Blackfoot,_Idaho	Blackfoot,_Idaho
 	رده:فهرست سیاه	Category:Blacklisting	Blacklisting
 	رده:بلادل	Category:Bladel	Bladel
 	رده:بلین، مینه‌سوتا	Category:Blaine,_Minnesota	Blaine,_Minnesota
 	رده:بلانفوردموش‌ها	Category:Blanfordimys	Blanfordimys
 	رده:بلانکنبرژ	Category:Blankenberge	Blankenberge
 	رده:بلاریکوم	Category:Blaricum	Blaricum
 	رده:بال‌توری‌ریختان	Category:Blephariceromorpha	Blephariceromorpha
 	رده:بلوک پارتی	Category:Bloc_Party	Bloc_Party
 	رده:بلومن‌دال	Category:Bloemendaal	Bloemendaal
 	رده:بلومزبری	Category:Bloomsbury	Bloomsbury
 	رده:بلو ارجین	Category:Blue_Origin	Blue_Origin
 	رده:بلوفیلد، ویرجینیای غربی	Category:Bluefield,_West_Virginia	Bluefield,_West_Virginia
 	رده:باشگاه فوتبال بنی یهودا تل‌آویو	Category:Bnei_Yehuda_Tel_Aviv_F.C.	Bnei_Yehuda_Tel_Aviv_F.C.
 	رده:بوجک هورسمن	Category:BoJack_Horseman	BoJack_Horseman
 	رده:بوآ ویستا، رورایما	Category:Boa_Vista,_Roraima	Boa_Vista,_Roraima
 	رده:باب دول	Category:Bob_Dole	Bob_Dole
 	رده:باب هاوک	Category:Bob_Hawke	Bob_Hawke
 	رده:بوده‌خرافن-ریوویک	Category:Bodegraven-Reeuwijk	Bodegraven-Reeuwijk
 	رده:بودنسیکرایس	Category:Bodenseekreis	Bodenseekreis
 	رده:باشگاه فوتبال بودمین تاون	Category:Bodmin_Town_F.C.	Bodmin_Town_F.C.
 	رده:بوکل	Category:Boekel	Boekel
 	رده:شهرستان بوون	Category:Boeun_County	Boeun_County
 	رده:بوگو، سبو	Category:Bogo,_Cebu	Bogo,_Cebu
 	رده:رده:خانواده بور	Category:Bohr_family	Bohr_family
 	رده:بولنیسی	Category:Bolnisi	Bolnisi
 	رده:بوما	Category:Boma,_Democratic_Republic_of_the_Congo	Boma,_Democratic_Republic_of_the_Congo
 	رده:ایالت بمبئی	Category:Bombay_State	Bombay_State
 	رده:بوناپارت، آیووا	Category:Bonaparte,_Iowa	Bonaparte,_Iowa
 	رده:شهرستان بونگهوا	Category:Bonghwa_County	Bonghwa_County
 	رده:کتاب عاموس	Category:Book_of_Amos	Book_of_Amos
 	رده:کتاب حجی	Category:Book_of_Haggai	Book_of_Haggai
 	رده:کتاب هوشع	Category:Book_of_Hosea	Book_of_Hosea
 	رده:کتاب یوئیل	Category:Book_of_Joel	Book_of_Joel
 	رده:کتاب یونس	Category:Book_of_Jonah	Book_of_Jonah
 	رده:کتاب جودیت	Category:Book_of_Judith	Book_of_Judith
 	رده:کتاب میکاه	Category:Book_of_Micah	Book_of_Micah
 	رده:کتاب نحمیا	Category:Book_of_Nehemiah	Book_of_Nehemiah
 	رده:کتاب عوبدیا	Category:Book_of_Obadiah	Book_of_Obadiah
 	رده:کتاب زکریا	Category:Book_of_Zechariah	Book_of_Zechariah
 	رده:بوم (بلژیک)	Category:Boom,_Belgium	Boom,_Belgium
 	رده:بوتبی هاربر، مین	Category:Boothbay_Harbor,_Maine	Boothbay_Harbor,_Maine
 	رده:بورا–هانسگروهه	Category:Bora–Hansgrohe	Bora–Hansgrohe
 	رده:بورگ‌وارنر	Category:BorgWarner	BorgWarner
 	رده:بورخر-ادورن	Category:Borger-Odoorn	Borger-Odoorn
 	رده:بوریس یلتسین	Category:Boris_Yeltsin	Boris_Yeltsin
 	رده:بورکن (ناحیه)	Category:Borken_(district)	Borken_(district)
 	رده:بورنه، افریسل	Category:Borne,_Overijssel	Borne,_Overijssel
 	رده:بورسله	Category:Borsele	Borsele
 	رده:بوریئونگ	Category:Boryeong	Boryeong
 	رده:بوسانسکی پترواتس	Category:Bosanski_Petrovac	Bosanski_Petrovac
 	رده:شهرستان بوسئونگ	Category:Boseong_County	Boseong_County
 	رده:باشگاه فوتبال بوستون تاون	Category:Boston_Town_F.C.	Boston_Town_F.C.
 	رده:مته‌سوسک‌ریختان	Category:Bostrichiformia	Bostrichiformia
 	رده:خلیج بوتانی	Category:Botany_Bay	Botany_Bay
 	رده:ناحیه بوشقوف	Category:Bouchegouf_District	Bouchegouf_District
 	رده:شهرستان بود	Category:Boudh_district	Boudh_district
 	رده:بونتیفول، یوتا	Category:Bountiful,_Utah	Bountiful,_Utah
 	رده:باشگاه فوتبال بووی تریسی	Category:Bovey_Tracey_A.F.C.	Bovey_Tracey_A.F.C.
 	رده:بو، لندن	Category:Bow,_London	Bow,_London
 	رده:کالج بودین	Category:Bowdoin_College	Bowdoin_College
 	رده:بوون	Category:Bowen,_Queensland	Bowen,_Queensland
 	رده:جزیره بووین	Category:Bowen_Island	Bowen_Island
 	رده:باشگاه فوتبال بوورز و پیتسی	Category:Bowers_&_Pitsea_F.C.	Bowers_&_Pitsea_F.C.
 	رده:باورال	Category:Bowral	Bowral
 	رده:بوکس‌میر	Category:Boxmeer	Boxmeer
 	رده:بوکستل	Category:Boxtel	Boxtel
 	رده:تور دوچرخه‌سواری برابانتسه پایل	Category:Brabantse_Pijl	Brabantse_Pijl
 	رده:باشگاه فوتبال براکلی تاون	Category:Brackley_Town_F.C.	Brackley_Town_F.C.
 	رده:باشگاه فوتبال براکنل تاون	Category:Bracknell_Town_F.C.	Bracknell_Town_F.C.
 	رده:بریدز	Category:Brades	Brades
 	رده:بردفرد، نیوهمپشایر	Category:Bradford,_New_Hampshire	Bradford,_New_Hampshire
 	رده:بردلی کوپر	Category:Bradley_Cooper	Bradley_Cooper
 	رده:جیرجیرک‌های زمینی زره‌دار	Category:Bradyporinae	Bradyporinae
 	رده:برینرد، مینه‌سوتا	Category:Brainerd,_Minnesota	Brainerd,_Minnesota
 	رده:برندن، منیتوبا	Category:Brandon,_Manitoba	Brandon,_Manitoba
 	رده:برندن، داکوتای جنوبی	Category:Brandon,_South_Dakota	Brandon,_South_Dakota
 	رده:باشگاه فوتبال برانتهام اتلتیک	Category:Brantham_Athletic_F.C.	Brantham_Athletic_F.C.
 	رده:براسخات	Category:Brasschaat	Brasschaat
 	رده:دلیر (فیلم)	Category:Brave_(2012_film)	Brave_(2012_film)
 	رده:دنیای قشنگ نو	Category:Brave_New_World	Brave_New_World
 	رده:برکستون براگ	Category:Braxton_Bragg	Braxton_Bragg
 	رده:تیم ملی بسکتبال برزیل	Category:Brazil_national_basketball_team	Brazil_national_basketball_team
 	رده:تیم ملی فوتسال برزیل	Category:Brazil_national_futsal_team	Brazil_national_futsal_team
 	رده:فروپاشی یوگسلاوی	Category:Breakup_of_Yugoslavia	Breakup_of_Yugoslavia
 	رده:برودن	Category:Bredene	Bredene
 	رده:برایگاو-هخشوارتسوالد	Category:Breisgau-Hochschwarzwald	Breisgau-Hochschwarzwald
 	رده:برایتبارت نیوز	Category:Breitbart_News	Breitbart_News
 	رده:برنت وود، کالیفرنیا	Category:Brentwood,_California	Brentwood,_California
 	رده:متروی برشا	Category:Brescia_Metro	Brescia_Metro
 	رده:برت رتنر	Category:Brett_Ratner	Brett_Ratner
 	رده:خروج بریتانیا از اتحادیه اروپا	Category:Brexit	Brexit
 	رده:جزیره برایبی	Category:Bribie_Island	Bribie_Island
 	رده:بریجند	Category:Bridgend	Bridgend
 	رده:بریجپرت، ویرجینیای غربی	Category:Bridgeport,_West_Virginia	Bridgeport,_West_Virginia
 	رده:باشگاه فوتبال بریدپورت	Category:Bridport_F.C.	Bridport_F.C.
 	رده:بریله	Category:Brielle	Brielle
 	رده:باشگاه فوتبال برایتلینگسی ریجینت	Category:Brightlingsea_Regent_F.C.	Brightlingsea_Regent_F.C.
 	رده:بریژیت باردو	Category:Brigitte_Bardot	Brigitte_Bardot
 	رده:بریستول، نیوهمپشایر	Category:Bristol,_New_Hampshire	Bristol,_New_Hampshire
 	رده:کانال بریستول	Category:Bristol_Channel	Bristol_Channel
 	رده:بریتیش اینترنشنال هلی‌کوپترز	Category:British_International_Helicopters	British_International_Helicopters
 	رده:بریکسن	Category:Brixen	Brixen
 	رده:برادچرچ	Category:Broadchurch	Broadchurch
 	رده:باشگاه فوتبال بروکنهورست	Category:Brockenhurst_F.C.	Brockenhurst_F.C.
 	رده:برود (بوسنی و هرزگوین)	Category:Brod,_Bosnia_and_Herzegovina	Brod,_Bosnia_and_Herzegovina
 	رده:ناحیه بروکوپوندو	Category:Brokopondo_District	Brokopondo_District
 	رده:برونک‌هورست	Category:Bronckhorst	Bronckhorst
 	رده:شرکت اسلحه‌سازی برونینگ	Category:Browning_Arms_Company	Browning_Arms_Company
 	رده:بروس هرنزبی	Category:Bruce_Hornsby	Bruce_Hornsby
 	رده:برومن	Category:Brummen	Brummen
 	رده:برونو لاتور	Category:Bruno_Latour	Bruno_Latour
 	رده:برونسوم	Category:Brunssum	Brunssum
 	رده:خزه‌شناسی	Category:Bryology	Bryology
 	رده:شهرستان بوان	Category:Buan_County	Buan_County
 	رده:استان بوبانزا	Category:Bubanza_Province	Bubanza_Province
 	رده:متروی بخارست	Category:Bucharest_Metro	Bucharest_Metro
 	رده:باشگاه فوتبال باکینگهام تاون	Category:Buckingham_Town_F.C.	Buckingham_Town_F.C.
 	رده:باشگاه فوتبال باکلند اتلتیک	Category:Buckland_Athletic_F.C.	Buckland_Athletic_F.C.
 	رده:گندم سیاه	Category:Buckwheat	Buckwheat
 	رده:بوئا	Category:Buea	Buea
 	رده:بوکاوا	Category:Bukavu	Bukavu
 	رده:جمهوری خلق شوروی بخارا	Category:Bukharan_People's_Soviet_Republic	Bukharan_People's_Soviet_Republic
 	رده:بانبری	Category:Bunbury,_Western_Australia	Bunbury,_Western_Australia
 	رده:بونیا	Category:Bunia	Bunia
 	رده:بونیک	Category:Bunnik	Bunnik
 	رده:بون‌اسخوتن	Category:Bunschoten	Bunschoten
 	رده:بورانو	Category:Burano	Burano
 	رده:رودخانه بوردکین	Category:Burdekin_River	Burdekin_River
 	رده:دفتر مرکزی اطلاعات و عملیات فرانسه	Category:Bureau_Central_de_Renseignements_et_d'Action	Bureau_Central_de_Renseignements_et_d'Action
 	رده:بورن (هلند)	Category:Buren	Buren
 	رده:باشگاه فوتبال بورنهام رامبلرز	Category:Burnham_Ramblers_F.C.	Burnham_Ramblers_F.C.
 	رده:بورشتین	Category:Burshtyn	Burshtyn
 	رده:استان بوروری	Category:Bururi_Province	Bururi_Province
 	رده:متروی بوسان	Category:Busan_Metro	Busan_Metro
 	رده:بوشوک، بروکلین	Category:Bushwick,_Brooklyn	Bushwick,_Brooklyn
 	رده:روزنامه‌نگاری اقتصادی	Category:Business_journalism	Business_journalism
 	رده:باسلتون	Category:Busselton	Busselton
 	رده:بوسی سول تیرینو	Category:Bussi_sul_Tirino	Bussi_sul_Tirino
 	رده:بوتیر	Category:Butare	Butare
 	رده:سارگپه‌های قوشی	Category:Butastur	Butastur
 	رده:شهرستان بویئو	Category:Buyeo_County	Buyeo_County
 	رده:باز آلدرین	Category:Buzz_Aldrin	Buzz_Aldrin
 	رده:واژه باب روز	Category:Buzzword	Buzzword
 	رده:گاه‌شماری بیزانسی	Category:Byzantine_calendar	Byzantine_calendar
 	رده:جنگ ایران و روم شرقی (۶۲۸–۶۰۲)	Category:Byzantine–Sasanian_War_of_602–628	Byzantine–Sasanian_War_of_602–628
 	رده:بیکیشچابا	Category:Békéscsaba	Békéscsaba
 	رده:بتوون	Category:Béthune	Béthune
 	رده:بنجن	Category:Będzin	Będzin
 	رده:باک گیانگ	Category:Bắc_Giang	Bắc_Giang
 	رده:کن باس	Category:CAN_bus	CAN_bus
 	رده:پخش تلویزیونی سی‌بی‌اس	Category:CBS_Television_Distribution	CBS_Television_Distribution
 	رده:استودیوهای تلویزیونی سی‌بی‌اس	Category:CBS_Television_Studios	CBS_Television_Studios
 	رده:سی‌بیبیز	Category:CBeebies	CBeebies
 	رده:باشگاه فوتبال لگانیس	Category:CD_Leganés	CD_Leganés
 	رده:سی‌اس‌آی: نیویورک	Category:CSI:_NY	CSI:_NY
 	رده:سازمان پژوهش‌های علمی و صنعتی همسود	Category:CSIRO	CSIRO
 	رده:باشگاه فوتبال سدان	Category:CS_Sedan_Ardennes	CS_Sedan_Ardennes
 	رده:سی‌وی‌اس کرمارک	Category:CVS_Health	CVS_Health
 	رده:کبین جان، مریلند	Category:Cabin_John,_Maryland	Cabin_John,_Maryland
 	رده:بریسی	Category:Cadaba	Cadaba
 	رده:کادوسیان	Category:Cadusii	Cadusii
 	رده:کورسمندران	Category:Caeciliidae	Caeciliidae
 	رده:کرناروون	Category:Caernarfon	Caernarfon
 	رده:کاگایان د اورو	Category:Cagayan_de_Oro	Cagayan_de_Oro
 	رده:کاخامارکا	Category:Cajamarca	Cajamarca
 	رده:کالابرین	Category:Calabrian_(stage)	Calabrian_(stage)
 	رده:شرمنده‌واران	Category:Calappoidea	Calappoidea
 	رده:کالاسچیو	Category:Calascio	Calascio
 	رده:کالدون، انتاریو	Category:Caledon,_Ontario	Caledon,_Ontario
 	رده:ویروس کالیسی	Category:Caliciviridae	Caliciviridae
 	رده:بچه‌اژدهاماهی‌واران	Category:Callionymoidei	Callionymoidei
 	رده:مارموست	Category:Callithrix	Callithrix
 	رده:موش‌ماهیان خیش‌بینی	Category:Callorhinchidae	Callorhinchidae
 	رده:کالن	Category:Calne	Calne
 	رده:زیباسوسن‌ها	Category:Calochortus	Calochortus
 	رده:کالوندرا	Category:Caloundra	Caloundra
 	رده:کالتاجرونه	Category:Caltagirone	Caltagirone
 	رده:باشگاه فوتبال کمبرلی تاون	Category:Camberley_Town_F.C.	Camberley_Town_F.C.
 	رده:کمبرول	Category:Camberwell	Camberwell
 	رده:ردیف ۲ کامبرین	Category:Cambrian_Series_2	Cambrian_Series_2
 	رده:ردیف ۳ کامبرین	Category:Cambrian_Series_3	Cambrian_Series_3
 	رده:کمبریج، نیوزیلند	Category:Cambridge,_New_Zealand	Cambridge,_New_Zealand
 	رده:کامرینو	Category:Camerino	Camerino
 	رده:تیم ملی فوتبال زنان کامرون	Category:Cameroon_women's_national_football_team	Cameroon_women's_national_football_team
 	رده:کامیلا کابیو	Category:Camila_Cabello	Camila_Cabello
 	رده:کامیل کلودل	Category:Camille_Claudel	Camille_Claudel
 	رده:کامینو د سانتیاگو	Category:Camino_de_Santiago	Camino_de_Santiago
 	رده:کاموویل	Category:Camooweal	Camooweal
 	رده:کامپلی	Category:Campli	Campli
 	رده:کامپو دی جووه	Category:Campo_di_Giove	Campo_di_Giove
 	رده:آزار جنسی در پردیس دانشگاهی	Category:Campus_sexual_assault	Campus_sexual_assault
 	رده:کینن، نیوهمپشایر	Category:Canaan,_New_Hampshire	Canaan,_New_Hampshire
 	رده:تیم ملی بسکتبال کانادا	Category:Canada_men's_national_basketball_team	Canada_men's_national_basketball_team
 	رده:انگلیسی کانادایی	Category:Canadian_English	Canadian_English
 	رده:مرکز فیلم کانادا	Category:Canadian_Film_Centre	Canadian_Film_Centre
 	رده:اتحادیه فوتبال کانادا	Category:Canadian_Soccer_Association	Canadian_Soccer_Association
 	رده:کاندید	Category:Candide	Candide
 	رده:کانلاسی	Category:Canellaceae	Canellaceae
 	رده:کانگجو	Category:Cangzhou	Cangzhou
 	رده:کانیکاتی	Category:Canicattì	Canicattì
 	رده:استان کانکوزو	Category:Cankuzo_Province	Cankuzo_Province
 	رده:کنمور، آلبرتا	Category:Canmore,_Alberta	Canmore,_Alberta
 	رده:کنندیل–دراپاک	Category:Cannondale–Drapac	Cannondale–Drapac
 	رده:کانسانو	Category:Cansano	Cansano
 	رده:باشگاه فوتبال کانتربوری سیتی	Category:Canterbury_City_F.C.	Canterbury_City_F.C.
 	رده:مستعمره کیپ	Category:Cape_Colony	Cape_Colony
 	رده:کفرناحوم	Category:Capernaum	Capernaum
 	رده:کاپسترانو	Category:Capestrano	Capestrano
 	رده:کپیتال وان	Category:Capital_One	Capital_One
 	رده:کاپیتل-ناسیونال	Category:Capitale-Nationale	Capitale-Nationale
 	رده:کاپورچیانو	Category:Caporciano	Caporciano
 	رده:سادماهیان	Category:Caproidae	Caproidae
 	رده:کارابوبو	Category:Carabobo	Carabobo
 	رده:متروی کاراکاس	Category:Caracas_Metro	Caracas_Metro
 	رده:کارامانیچو ترمه	Category:Caramanico_Terme	Caramanico_Terme
 	رده:کربندیل، پنسیلوانیا	Category:Carbondale,_Pennsylvania	Carbondale,_Pennsylvania
